Type,Beta,Realization,Skewness,Kurtosis,SkewnessSq
White (beta=0),0.0,0,0.11680083110533514,3.066205892921483,0.013642434146897024
White (beta=0),0.0,1,-0.022942199634241222,2.86307074772466,0.0005263445240573781
White (beta=0),0.0,2,0.05555505418660633,3.043968998558963,0.003086364045676765
White (beta=0),0.0,3,0.008366932935316434,3.0036639365763813,7.000556674408288e-05
White (beta=0),0.0,4,0.02432865407593143,3.0798823784201095,0.000591883409146335
White (beta=0),0.0,5,0.0881023825764996,2.8120584579157515,0.0077620298156559015
White (beta=0),0.0,6,0.035458191198480433,3.459704642493488,0.0012572833230679952
White (beta=0),0.0,7,-0.044310407513948664,3.208770823545666,0.001963412214052198
White (beta=0),0.0,8,-0.018953151540530604,3.1744249477888857,0.00035922195331831763
White (beta=0),0.0,9,0.0465918018812082,3.186506931273103,0.002170796002537756
White (beta=0),0.0,10,-0.023567480135909438,2.8750997555586477,0.000555426119956486
White (beta=0),0.0,11,-0.022530653263558666,3.0300341874629355,0.0005076303364827067
White (beta=0),0.0,12,0.011981131421196101,2.9331632478128093,0.0001435475101319725
White (beta=0),0.0,13,0.09495107896600806,3.3295678250406433,0.009015707396809099
White (beta=0),0.0,14,0.10958413993804542,3.200076276586816,0.01200868372596112
White (beta=0),0.0,15,0.15896518897503104,2.7756351942811324,0.025269931305867327
White (beta=0),0.0,16,0.06449944101009515,2.9215325592041266,0.004160177890614744
White (beta=0),0.0,17,-0.10724698249862802,2.8151727145596155,0.011501915255061024
White (beta=0),0.0,18,0.06618786084514613,2.89309834646547,0.004380832923256429
White (beta=0),0.0,19,-0.10739917269059632,2.950574550018804,0.01153458229462453
White (beta=0),0.0,20,-0.12557547097420635,2.9207323222958603,0.01576919891039374
White (beta=0),0.0,21,0.028796544947727612,2.861153604685962,0.0008292410009264966
White (beta=0),0.0,22,-0.04917520123859346,2.7666657343363172,0.002418200416856164
White (beta=0),0.0,23,0.07623772090485477,2.922337289563906,0.00581219008876653
White (beta=0),0.0,24,0.014301325831014643,2.7848627748972246,0.00020452792052484667
White (beta=0),0.0,25,0.12741419350459554,2.9632314926413215,0.016234376706426516
White (beta=0),0.0,26,-0.03132310753006496,3.2372761910323637,0.0009811370653400122
White (beta=0),0.0,27,-0.1028422849243796,2.717005185449239,0.010576535568467276
White (beta=0),0.0,28,-0.0007522794082128214,3.127264471941076,5.659243080210328e-07
White (beta=0),0.0,29,0.11627918255678209,2.859760726341653,0.013520848296073456
White (beta=0),0.0,30,-0.04581910546678935,2.8888866359831127,0.0020993904257767654
White (beta=0),0.0,31,-0.06534764221143069,3.0721331895939468,0.004270314342593158
White (beta=0),0.0,32,-0.005334605312835947,3.051165276566203,2.8458013843737515e-05
White (beta=0),0.0,33,0.1077446526089322,3.200242753916331,0.011608910165819481
White (beta=0),0.0,34,0.06706570170589272,3.168686705175963,0.004497808345303782
White (beta=0),0.0,35,0.11236174765072551,2.951056980321549,0.01262516233512532
White (beta=0),0.0,36,0.016207684052098787,3.0007430645632103,0.00026268902233265735
White (beta=0),0.0,37,0.2291219280318895,3.2136483368903375,0.05249685790505035
